timestep,is_occluded,num_segments,occluded_ranges_deg,segments_start_idx_end_idx,segments_stability
55,1,3,63.0–77.0; 90.0–101.0; 111.0–126.0,243-257; 270-281; 291-306,0.88; 0.87; 0.91
56,1,3,63.0–77.0; 90.0–101.0; 111.0–126.0,243-257; 270-281; 291-306,0.88; 0.89; 0.92
57,1,3,63.0–77.0; 90.0–101.0; 111.0–125.0,243-257; 270-281; 291-305,0.89; 0.90; 0.87
58,1,3,63.0–77.0; 90.0–101.0; 110.0–125.0,243-257; 270-281; 290-305,0.90; 0.91; 0.82
59,1,3,63.0–77.0; 90.0–100.0; 110.0–125.0,243-257; 270-280; 290-305,0.90; 0.82; 0.83
60,1,3,64.0–76.0; 90.0–100.0; 110.0–125.0,244-256; 270-280; 290-305,0.79; 0.84; 0.84
61,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.80; 0.80; 0.85
62,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.81; 0.81; 0.86
63,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.82; 0.82; 0.87
64,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.83; 0.83; 0.88
65,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.84; 0.84; 0.89
66,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.85; 0.85; 0.90
67,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.86; 0.86; 0.90
68,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.87; 0.87; 0.91
69,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.88; 0.88; 0.92
70,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.88; 0.88; 0.92
71,1,3,64.0–76.0; 89.0–100.0; 110.0–125.0,244-256; 269-280; 290-305,0.89; 0.89; 0.93
72,1,3,64.0–76.0; 89.0–100.0; 109.0–125.0,244-256; 269-280; 289-305,0.90; 0.90; 0.88
73,1,3,65.0–76.0; 89.0–100.0; 109.0–125.0,245-256; 269-280; 289-305,0.84; 0.91; 0.89
74,1,3,65.0–76.0; 89.0–100.0; 109.0–125.0,245-256; 269-280; 289-305,0.85; 0.91; 0.89
75,1,3,65.0–76.0; 89.0–100.0; 109.0–124.0,245-256; 269-280; 289-304,0.86; 0.92; 0.84
76,1,3,65.0–76.0; 89.0–100.0; 109.0–124.0,245-256; 269-280; 289-304,0.87; 0.93; 0.85
77,1,3,65.0–76.0; 89.0–99.0; 109.0–124.0,245-256; 269-279; 289-304,0.87; 0.85; 0.86
78,1,3,65.0–76.0; 89.0–99.0; 109.0–124.0,245-256; 269-279; 289-304,0.88; 0.86; 0.87
79,1,3,65.0–76.0; 89.0–99.0; 109.0–124.0,245-256; 269-279; 289-304,0.89; 0.87; 0.87
80,1,3,66.0–76.0; 89.0–99.0; 109.0–124.0,246-256; 269-279; 289-304,0.81; 0.88; 0.88
81,1,3,66.0–76.0; 89.0–99.0; 109.0–124.0,246-256; 269-279; 289-304,0.83; 0.88; 0.89
82,1,3,66.0–76.0; 89.0–99.0; 109.0–124.0,246-256; 269-279; 289-304,0.84; 0.89; 0.90
83,1,3,66.0–76.0; 89.0–99.0; 109.0–124.0,246-256; 269-279; 289-304,0.85; 0.90; 0.90
84,1,3,66.0–76.0; 89.0–99.0; 109.0–124.0,246-256; 269-279; 289-304,0.86; 0.91; 0.91
85,1,3,66.0–76.0; 89.0–99.0; 109.0–124.0,246-256; 269-279; 289-304,0.87; 0.91; 0.92
86,1,3,67.0–76.0; 89.0–99.0; 109.0–123.0,247-256; 269-279; 289-303,0.75; 0.92; 0.87
87,1,3,67.0–76.0; 89.0–99.0; 109.0–123.0,247-256; 269-279; 289-303,0.78; 0.93; 0.88
88,1,3,67.0–76.0; 89.0–99.0; 109.0–123.0,247-256; 269-279; 289-303,0.80; 0.94; 0.88
89,1,3,67.0–76.0; 89.0–99.0; 109.0–123.0,247-256; 269-279; 289-303,0.82; 0.94; 0.89
90,1,3,67.0–76.0; 89.0–99.0; 108.0–123.0,247-256; 269-279; 288-303,0.84; 0.95; 0.84
91,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.96; 0.85
92,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.96; 0.86
93,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.96; 0.87
94,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.96; 0.87
95,1,3,68.0–76.0; 89.0–99.0; 108.0–123.0,248-256; 269-279; 288-303,0.71; 0.97; 0.88
96,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.97; 0.89
97,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.97; 0.89
98,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.97; 0.90
99,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.98; 0.91
100,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.98; 0.92
101,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.98; 0.92
102,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.99; 0.93
103,1,2,89.0–99.0; 108.0–123.0,269-279; 288-303,0.99; 0.94
104,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.90; 0.94
105,1,3,69.0–75.0; 89.0–98.0; 108.0–123.0,249-255; 269-278; 288-303,0.70; 0.91; 0.95
106,1,3,69.0–75.0; 89.0–98.0; 108.0–123.0,249-255; 269-278; 288-303,0.72; 0.91; 0.95
107,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.92; 0.96
108,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.92; 0.96
109,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.92; 0.96
110,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.93; 0.97
111,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.93; 0.97
112,1,2,89.0–98.0; 108.0–123.0,269-278; 288-303,0.93; 0.98
113,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.94; 0.86
114,1,2,88.0–98.0; 107.0–122.0,268-278; 287-302,0.86; 0.87
115,1,2,88.0–98.0; 107.0–122.0,268-278; 287-302,0.86; 0.88
116,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.94; 0.89
117,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.94; 0.89
118,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.95; 0.90
119,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.95; 0.90
120,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.95; 0.91
121,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.95; 0.91
122,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.96; 0.92
123,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.96; 0.92
124,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.96; 0.93
125,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.97; 0.93
126,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.97; 0.93
127,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.97; 0.94
128,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.98; 0.94
129,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.98; 0.95
130,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.98; 0.95
131,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.98; 0.95
132,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.99; 0.96
133,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.99; 0.96
134,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.99; 0.96
135,1,3,34.0–39.0; 89.0–98.0; 107.0–122.0,214-219; 269-278; 287-302,0.72; 0.99; 0.97
136,1,2,89.0–98.0; 107.0–122.0,269-278; 287-302,0.99; 0.97
137,1,2,89.0–98.0; 107.0–121.0,269-278; 287-301,0.99; 0.91
138,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.71; 0.99; 0.92
139,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.74; 0.99; 0.93
140,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.78; 0.99; 0.93
141,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.81; 0.99; 0.94
142,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.84; 0.99; 0.94
143,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.85; 0.99; 0.95
144,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.86; 0.99; 0.95
145,1,3,34.0–40.0; 89.0–98.0; 107.0–122.0,214-220; 269-278; 287-302,0.87; 1.00; 0.98
146,1,3,34.0–40.0; 89.0–98.0; 107.0–122.0,214-220; 269-278; 287-302,0.88; 1.00; 0.98
147,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.89; 1.00; 0.95
148,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.90; 1.00; 0.96
149,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.91; 1.00; 0.96
150,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.92; 1.00; 0.96
151,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.93; 1.00; 0.96
152,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.93; 1.00; 0.96
153,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.94; 1.00; 0.97
154,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.94; 1.00; 0.97
155,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.95; 1.00; 0.97
156,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.95; 1.00; 0.97
157,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.96; 1.00; 0.97
158,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.96; 1.00; 0.98
159,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.97; 1.00; 0.98
160,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.97; 1.00; 0.98
161,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.98; 1.00; 0.98
162,1,3,34.0–40.0; 89.0–98.0; 107.0–121.0,214-220; 269-278; 287-301,0.98; 1.00; 0.99
163,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.86; 1.00; 0.99
164,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.87; 1.00; 0.99
165,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.88; 1.00; 0.99
166,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.89; 1.00; 0.99
167,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.89; 1.00; 1.00
168,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.90; 1.00; 1.00
169,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.90; 1.00; 1.00
170,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.90; 1.00; 1.00
171,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.91; 1.00; 1.00
172,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.91; 1.00; 1.00
173,1,3,33.0–40.0; 89.0–98.0; 107.0–121.0,213-220; 269-278; 287-301,0.92; 1.00; 1.00
174,1,3,33.0–39.0; 89.0–98.0; 107.0–121.0,213-219; 269-278; 287-301,0.80; 1.00; 1.00
175,1,3,33.0–39.0; 89.0–98.0; 107.0–121.0,213-219; 269-278; 287-301,0.80; 1.00; 1.00
176,1,3,33.0–39.0; 89.0–98.0; 107.0–121.0,213-219; 269-278; 287-301,0.81; 1.00; 1.00
177,1,3,33.0–39.0; 89.0–98.0; 107.0–121.0,213-219; 269-278; 287-301,0.82; 1.00; 1.00
178,1,3,33.0–39.0; 89.0–98.0; 107.0–121.0,213-219; 269-278; 287-301,0.83; 1.00; 1.00
